job_id,scenario_id,run_id,season,date,config
1086,868,fabf8cf1fbf2464380b1747e4974a1d7,2023-2024,2024-04-27,celebahq_noTTJ5
1087,868,fabf8cf1fbf2464380b1747e4974a1d7,2023-2024,2024-04-27,celebahq_try3
1088,868,fabf8cf1fbf2464380b1747e4974a1d7,2023-2024,2024-04-27,celebahq
1089,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-11-23,celebahq_noTTJ5
1090,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-11-23,celebahq_try3
1091,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-11-23,celebahq
1092,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-07,celebahq_noTTJ5
1093,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-07,celebahq_try3
1094,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-07,celebahq
1095,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-21,celebahq_noTTJ5
1096,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-21,celebahq_try3
1097,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2024-12-21,celebahq
1098,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-04,celebahq_noTTJ5
1099,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-04,celebahq_try3
1100,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-04,celebahq
1101,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-18,celebahq_noTTJ5
1102,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-18,celebahq_try3
1103,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-01-18,celebahq
1104,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-01,celebahq_noTTJ5
1105,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-01,celebahq_try3
1106,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-01,celebahq
1107,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-15,celebahq_noTTJ5
1108,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-15,celebahq_try3
1109,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-02-15,celebahq
1110,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-01,celebahq_noTTJ5
1111,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-01,celebahq_try3
1112,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-01,celebahq
1113,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-15,celebahq_noTTJ5
1114,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-15,celebahq_try3
1115,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-15,celebahq
1116,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-29,celebahq_noTTJ5
1117,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-29,celebahq_try3
1118,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-03-29,celebahq
1119,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-12,celebahq_noTTJ5
1120,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-12,celebahq_try3
1121,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-12,celebahq
1122,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-26,celebahq_noTTJ5
1123,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-26,celebahq_try3
1124,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-04-26,celebahq
1125,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-10,celebahq_noTTJ5
1126,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-10,celebahq_try3
1127,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-10,celebahq
1128,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-24,celebahq_noTTJ5
1129,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-24,celebahq_try3
1130,868,fabf8cf1fbf2464380b1747e4974a1d7,2024-2025,2025-05-24,celebahq
1131,932,b7f98847bb254a429e9ba98b77569fcf,2023-2024,2023-10-14,celebahq_noTTJ5
1132,932,b7f98847bb254a429e9ba98b77569fcf,2023-2024,2023-10-14,celebahq_try3
1133,932,b7f98847bb254a429e9ba98b77569fcf,2023-2024,2023-10-14,celebahq
1134,932,b7f98847bb254a429e9ba98b77569fcf,2023-2024,2023-10-28,celebahq_noTTJ5
1135,932,b7f98847bb254a429e9ba98b77569fcf,2023-2024,2023-10-28,celebahq_try3
